Energy_GeV,g1,g2,g3
9370.625249459043,1.1155974842767296 - 0.0j,0.15937106918238994 - 0.0j,0.022767295597484277 - 0.0j
11566.860946357696,1.121761006289308 - 0.0j,0.160251572327044 - 0.0j,0.02289308176100629 - 0.0j
14277.838307545013,1.1279245283018868 - 0.0j,0.1611320754716981 - 0.0j,0.023018867924528303 - 0.0j
17624.199658127,1.1340880503144655 - 0.0j,0.1620125786163522 - 0.0j,0.023144654088050314 - 0.0j
21754.862808985807,1.140251572327044 - 0.0j,0.1628930817610063 - 0.0j,0.02327044025157233 - 0.0j
26853.648109890437,1.1464150943396227 - 0.0j,0.16377358490566038 - 0.0j,0.02339622641509434 - 0.0j
33147.45871492996,1.1525786163522012 - 0.0j,0.16465408805031445 - 0.0j,0.02352201257861635 - 0.0j
40916.37809364551,1.1587421383647798 - 0.0j,0.16553459119496855 - 0.0j,0.023647798742138366 - 0.0j
50506.13414138149,1.1649056603773587 - 0.0j,0.16641509433962265 - 0.0j,0.02377358490566038 - 0.0j
62343.48455938667,1.1710691823899373 - 0.0j,0.16729559748427675 - 0.0j,0.02389937106918239 - 0.0j
76955.20817583152,1.1772327044025157 - 0.0j,0.16817610062893082 - 0.0j,0.024025157232704403 - 0.0j
94991.54734837342,1.1833962264150943 - 0.0j,0.16905660377358492 - 0.0j,0.024150943396226417 - 0.0j
117255.14466832601,1.189559748427673 - 0.0j,0.169937106918239 - 0.0j,0.02427672955974843 - 0.0j
144736.76169067572,1.1957232704402516 - 0.0j,0.1708176100628931 - 0.0j,0.024402515723270443 - 0.0j
178659.36922392718,1.2018867924528303 - 0.0j,0.1716981132075472 - 0.0j,0.024528301886792454 - 0.0j
220532.5712600066,1.208050314465409 - 0.0j,0.17257861635220126 - 0.0j,0.024654088050314465 - 0.0j
272219.78448604327,1.2142138364779873 - 0.0j,0.17345911949685533 - 0.0j,0.024779874213836477 - 0.0j
336021.16296127584,1.220377358490566 - 0.0j,0.17433962264150943 - 0.0j,0.02490566037735849 - 0.0j
414775.95822443767,1.2265408805031446 - 0.0j,0.17522012578616353 - 0.0j,0.025031446540880506 - 0.0j
511988.87000110303,1.2327044025157234 - 0.0j,0.17610062893081763 - 0.0j,0.025157232704402517 - 0.0j
631986.0102961053,1.2388679245283019 - 0.0j,0.1769811320754717 - 0.0j,0.025283018867924528 - 0.0j
780107.4214936126,1.2450314465408805 - 0.0j,0.1778616352201258 - 0.0j,0.025408805031446543 - 0.0j
962944.7157924902,1.2511949685534591 - 0.0j,0.17874213836477987 - 0.0j,0.025534591194968554 - 0.0j
1188634.4112677719,1.2573584905660378 - 0.0j,0.17962264150943397 - 0.0j,0.025660377358490565 - 0.0j
1467220.0184276674,1.2635220125786164 - 0.0j,0.18050314465408807 - 0.0j,0.02578616352201258 - 0.0j
1811098.9906297806,1.269685534591195 - 0.0j,0.18138364779874214 - 0.0j,0.02591194968553459 - 0.0j
2235574.4282819126,1.2758490566037735 - 0.0j,0.1822641509433962 - 0.0j,0.026037735849056602 - 0.0j
2759536.0884443475,1.282012578616352 - 0.0j,0.1831446540880503 - 0.0j,0.026163522012578617 - 0.0j
3406301.0057236324,1.288176100628931 - 0.0j,0.1840251572327044 - 0.0j,0.02628930817610063 - 0.0j
4204651.133276103,1.2943396226415096 - 0.0j,0.1849056603773585 - 0.0j,0.026415094339622643 - 0.0j
5190114.180412627,1.300503144654088 - 0.0j,0.18578616352201258 - 0.0j,0.026540880503144654 - 0.0j
